Using device: cuda
Loading Teacher weights from /home/jay_agarwal_2022/lorentz-gatr/runs/topt/GATr_7327/models/model_run0_it169999.pt...
✓ Loaded L-GATr. Missing: 0 | Unexpected: 12

--- Starting Engineered Knowledge Distillation ---
Epoch 6/100 | Batch 2000/2366 | Soft KD Loss: 8.4111 | Hard Loss: 1.0736 | Total Loss: 4.7424 | LR: 0.000200
Epoch 6/100 | Batch 2200/2366 | Soft KD Loss: 8.3492 | Hard Loss: 1.0149 | Total Loss: 4.6821 | LR: 0.000200
====> Epoch 6 Average KD Loss: 4.7070 | LR: 0.000200
Epoch 7/100 | Batch 0/2366 | Soft KD Loss: 8.2145 | Hard Loss: 1.1020 | Total Loss: 4.6582 | LR: 0.000200
Epoch 7/100 | Batch 200/2366 | Soft KD Loss: 8.1793 | Hard Loss: 0.8879 | Total Loss: 4.5336 | LR: 0.000200
Epoch 7/100 | Batch 400/2366 | Soft KD Loss: 8.3392 | Hard Loss: 1.2358 | Total Loss: 4.7875 | LR: 0.000200
Epoch 7/100 | Batch 600/2366 | Soft KD Loss: 8.5343 | Hard Loss: 0.9436 | Total Loss: 4.7389 | LR: 0.000200
Epoch 7/100 | Batch 800/2366 | Soft KD Loss: 8.4422 | Hard Loss: 1.2747 | Total Loss: 4.8585 | LR: 0.000200
Epoch 7/100 | Batch 1000/2366 | Soft KD Loss: 8.2514 | Hard Loss: 1.1731 | Total Loss: 4.7123 | LR: 0.000200
Epoch 7/100 | Batch 1200/2366 | Soft KD Loss: 8.3826 | Hard Loss: 1.0025 | Total Loss: 4.6926 | LR: 0.000200
Epoch 7/100 | Batch 1400/2366 | Soft KD Loss: 8.3586 | Hard Loss: 1.0839 | Total Loss: 4.7213 | LR: 0.000200
Epoch 7/100 | Batch 1600/2366 | Soft KD Loss: 8.2767 | Hard Loss: 0.9449 | Total Loss: 4.6108 | LR: 0.000200
Epoch 7/100 | Batch 1800/2366 | Soft KD Loss: 8.4881 | Hard Loss: 1.0165 | Total Loss: 4.7523 | LR: 0.000200
Epoch 7/100 | Batch 2000/2366 | Soft KD Loss: 8.5527 | Hard Loss: 1.0287 | Total Loss: 4.7907 | LR: 0.000200
Epoch 7/100 | Batch 2200/2366 | Soft KD Loss: 8.5396 | Hard Loss: 1.0932 | Total Loss: 4.8164 | LR: 0.000200
====> Epoch 7 Average KD Loss: 4.6740 | LR: 0.000200
Epoch 8/100 | Batch 0/2366 | Soft KD Loss: 8.4110 | Hard Loss: 1.0224 | Total Loss: 4.7167 | LR: 0.000200
Epoch 8/100 | Batch 200/2366 | Soft KD Loss: 8.2121 | Hard Loss: 1.0068 | Total Loss: 4.6095 | LR: 0.000200
