nohup: ignoring input
Using device: cuda
Loading Teacher weights from /home/jay_agarwal_2022/lorentz-gatr/runs/topt/GATr_7327/models/model_run0_it169999.pt...
✓ Loaded L-GATr. Missing: 0 | Unexpected: 12
Parallelizing across 4 GPUs!

--- Starting Engineered Knowledge Distillation ---
/home/jay_agarwal_2022/.local/lib/python3.10/site-packages/torch/nn/modules/linear.py:134: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:330.)
  return F.linear(input, self.weight, self.bias)
Epoch 1/100 | Batch 17400/18922 | KD Loss: 5.4314 | Base Loss: 0.7759
Epoch 1/100 | Batch 17600/18922 | KD Loss: 5.0908 | Base Loss: 0.8390
Epoch 1/100 | Batch 17800/18922 | KD Loss: 5.2407 | Base Loss: 0.6628
Epoch 1/100 | Batch 18000/18922 | KD Loss: 5.0712 | Base Loss: 0.6018
Epoch 1/100 | Batch 18200/18922 | KD Loss: 5.1040 | Base Loss: 0.6915
Epoch 1/100 | Batch 18400/18922 | KD Loss: 4.9628 | Base Loss: 0.7587
Epoch 1/100 | Batch 18600/18922 | KD Loss: 5.2748 | Base Loss: 0.7355
Epoch 1/100 | Batch 18800/18922 | KD Loss: 5.1883 | Base Loss: 0.8004
====> Epoch 1 Average KD Loss: 5.3045 | LR: 0.000200
Epoch 2/100 | Batch 0/18922 | KD Loss: 4.8484 | Base Loss: 0.5600
Epoch 2/100 | Batch 200/18922 | KD Loss: 5.2914 | Base Loss: 0.6576
Epoch 2/100 | Batch 400/18922 | KD Loss: 5.3049 | Base Loss: 0.5938
Epoch 2/100 | Batch 600/18922 | KD Loss: 5.6436 | Base Loss: 0.7376
Epoch 2/100 | Batch 800/18922 | KD Loss: 5.2397 | Base Loss: 0.7840
Epoch 2/100 | Batch 1000/18922 | KD Loss: 5.2647 | Base Loss: 0.7220
Epoch 2/100 | Batch 1200/18922 | KD Loss: 5.3653 | Base Loss: 0.6958
Epoch 2/100 | Batch 1400/18922 | KD Loss: 5.5164 | Base Loss: 0.6172
Epoch 2/100 | Batch 1600/18922 | KD Loss: 5.2661 | Base Loss: 0.5924
Epoch 2/100 | Batch 1800/18922 | KD Loss: 4.8734 | Base Loss: 0.7519
Epoch 2/100 | Batch 2000/18922 | KD Loss: 5.2482 | Base Loss: 0.7537
Epoch 2/100 | Batch 2200/18922 | KD Loss: 5.1343 | Base Loss: 0.8268
Epoch 2/100 | Batch 2400/18922 | KD Loss: 5.0676 | Base Loss: 0.7026
Epoch 2/100 | Batch 2600/18922 | KD Loss: 5.4205 | Base Loss: 0.8391
Epoch 2/100 | Batch 2800/18922 | KD Loss: 5.0257 | Base Loss: 0.6797
Epoch 2/100 | Batch 3000/18922 | KD Loss: 5.0568 | Base Loss: 0.7302
Epoch 2/100 | Batch 3200/18922 | KD Loss: 5.1721 | Base Loss: 0.7136
Epoch 2/100 | Batch 3400/18922 | KD Loss: 5.1733 | Base Loss: 0.6541
Epoch 2/100 | Batch 3600/18922 | KD Loss: 4.8976 | Base Loss: 0.6976
Epoch 2/100 | Batch 3800/18922 | KD Loss: 5.1942 | Base Loss: 0.8305
Epoch 2/100 | Batch 4000/18922 | KD Loss: 5.5678 | Base Loss: 0.8164
Epoch 2/100 | Batch 4200/18922 | KD Loss: 5.1897 | Base Loss: 0.7690
Epoch 2/100 | Batch 4400/18922 | KD Loss: 5.1131 | Base Loss: 0.6172
Epoch 2/100 | Batch 4600/18922 | KD Loss: 5.5128 | Base Loss: 0.7449
Epoch 2/100 | Batch 4800/18922 | KD Loss: 5.2974 | Base Loss: 0.8090
Epoch 2/100 | Batch 5000/18922 | KD Loss: 5.1807 | Base Loss: 0.7162
Epoch 2/100 | Batch 5200/18922 | KD Loss: 5.1624 | Base Loss: 0.6126
Epoch 2/100 | Batch 5400/18922 | KD Loss: 5.3367 | Base Loss: 0.7309
Epoch 2/100 | Batch 5600/18922 | KD Loss: 4.9762 | Base Loss: 0.7663
Epoch 2/100 | Batch 5800/18922 | KD Loss: 5.3818 | Base Loss: 0.6880
Epoch 2/100 | Batch 6000/18922 | KD Loss: 5.2047 | Base Loss: 0.6419
Epoch 2/100 | Batch 6200/18922 | KD Loss: 5.4459 | Base Loss: 0.8386
