nohup: ignoring input
Using device: cuda
Loading Teacher weights from /home/jay_agarwal_2022/lorentz-gatr/runs/topt/GATr_7327/models/model_run0_it169999.pt...
✓ Loaded L-GATr. Missing: 0 | Unexpected: 12

--- Starting Knowledge Distillation ---
Epoch 3 | Batch 4800/9461 | Loss: 4.5176
Epoch 3 | Batch 4900/9461 | Loss: 4.4581
Epoch 3 | Batch 5000/9461 | Loss: 4.6559
Epoch 3 | Batch 5100/9461 | Loss: 4.5840
Epoch 3 | Batch 5200/9461 | Loss: 4.4176
Epoch 3 | Batch 5300/9461 | Loss: 4.6997
Epoch 3 | Batch 5400/9461 | Loss: 4.4608
Epoch 3 | Batch 5500/9461 | Loss: 4.4255
Epoch 3 | Batch 5600/9461 | Loss: 4.6980
Epoch 3 | Batch 5700/9461 | Loss: 4.5664
Epoch 3 | Batch 5800/9461 | Loss: 4.6901
Epoch 3 | Batch 5900/9461 | Loss: 4.7999
Epoch 3 | Batch 6000/9461 | Loss: 4.5160
Epoch 3 | Batch 6100/9461 | Loss: 4.2036
Epoch 3 | Batch 6200/9461 | Loss: 4.3930
Epoch 3 | Batch 6300/9461 | Loss: 4.5554
Epoch 3 | Batch 6400/9461 | Loss: 4.7016
Epoch 3 | Batch 6500/9461 | Loss: 4.4486
Epoch 3 | Batch 6600/9461 | Loss: 4.4745
Epoch 3 | Batch 6700/9461 | Loss: 4.6671
Epoch 3 | Batch 6800/9461 | Loss: 4.7143
Epoch 3 | Batch 6900/9461 | Loss: 4.6693
Epoch 3 | Batch 7000/9461 | Loss: 4.4751
Epoch 3 | Batch 7100/9461 | Loss: 4.4983
Epoch 3 | Batch 7200/9461 | Loss: 4.3021
Epoch 3 | Batch 7300/9461 | Loss: 4.5764
Epoch 3 | Batch 7400/9461 | Loss: 4.2911
Epoch 3 | Batch 7500/9461 | Loss: 4.4769
Epoch 3 | Batch 7600/9461 | Loss: 4.5493
Epoch 3 | Batch 7700/9461 | Loss: 4.2612
Epoch 3 | Batch 7800/9461 | Loss: 4.6300
Epoch 3 | Batch 7900/9461 | Loss: 4.4004
Epoch 3 | Batch 8000/9461 | Loss: 4.6005
Epoch 3 | Batch 8100/9461 | Loss: 4.5854
Epoch 3 | Batch 8200/9461 | Loss: 4.3851
Epoch 3 | Batch 8300/9461 | Loss: 4.4744
Epoch 3 | Batch 8400/9461 | Loss: 4.4580
Epoch 3 | Batch 8500/9461 | Loss: 4.6468
Epoch 3 | Batch 8600/9461 | Loss: 4.6022
Epoch 3 | Batch 8700/9461 | Loss: 4.5740
Epoch 3 | Batch 8800/9461 | Loss: 4.5434
Epoch 3 | Batch 8900/9461 | Loss: 4.2542
Epoch 3 | Batch 9000/9461 | Loss: 4.6118
Epoch 3 | Batch 9100/9461 | Loss: 4.5681
Epoch 3 | Batch 9200/9461 | Loss: 4.6410
Epoch 3 | Batch 9300/9461 | Loss: 4.4426
Epoch 3 | Batch 9400/9461 | Loss: 4.5650
Epoch 4 | Batch 0/9461 | Loss: 4.7544
Epoch 4 | Batch 100/9461 | Loss: 4.4753
Epoch 4 | Batch 200/9461 | Loss: 4.5527
Epoch 4 | Batch 300/9461 | Loss: 4.6057
Epoch 4 | Batch 400/9461 | Loss: 4.7636
Epoch 4 | Batch 500/9461 | Loss: 4.7125
Epoch 4 | Batch 600/9461 | Loss: 4.4968
Epoch 4 | Batch 700/9461 | Loss: 4.3776
Epoch 4 | Batch 800/9461 | Loss: 4.5140
Epoch 4 | Batch 900/9461 | Loss: 4.5143
Epoch 4 | Batch 1000/9461 | Loss: 4.4316
Epoch 4 | Batch 1100/9461 | Loss: 4.3087
Epoch 4 | Batch 1200/9461 | Loss: 4.2084
Epoch 4 | Batch 1300/9461 | Loss: 4.5344
Epoch 4 | Batch 1400/9461 | Loss: 4.6493
Epoch 4 | Batch 1500/9461 | Loss: 4.7095
Epoch 4 | Batch 1600/9461 | Loss: 4.4040
Epoch 4 | Batch 1700/9461 | Loss: 4.5358
Epoch 4 | Batch 1800/9461 | Loss: 4.5174
Epoch 4 | Batch 1900/9461 | Loss: 4.4790
Epoch 4 | Batch 2000/9461 | Loss: 4.5299
Epoch 4 | Batch 2100/9461 | Loss: 4.7128
Epoch 4 | Batch 2200/9461 | Loss: 4.6239
Epoch 4 | Batch 2300/9461 | Loss: 4.7292
Epoch 4 | Batch 2400/9461 | Loss: 4.5757
Epoch 4 | Batch 2500/9461 | Loss: 4.4855
Epoch 4 | Batch 2600/9461 | Loss: 4.4089
Epoch 4 | Batch 2700/9461 | Loss: 4.4487
Epoch 4 | Batch 2800/9461 | Loss: 4.4042
Epoch 4 | Batch 2900/9461 | Loss: 4.5578
Epoch 4 | Batch 3000/9461 | Loss: 4.5054
Epoch 4 | Batch 3100/9461 | Loss: 4.3543
Epoch 4 | Batch 3200/9461 | Loss: 4.5639
Epoch 4 | Batch 3300/9461 | Loss: 4.5487
Epoch 4 | Batch 3400/9461 | Loss: 4.5519
Epoch 4 | Batch 3500/9461 | Loss: 4.6133
Epoch 4 | Batch 3600/9461 | Loss: 4.4996
Epoch 4 | Batch 3700/9461 | Loss: 4.6245
Epoch 4 | Batch 3800/9461 | Loss: 4.3846
Epoch 4 | Batch 3900/9461 | Loss: 4.6176
Epoch 4 | Batch 4000/9461 | Loss: 4.6567
Epoch 4 | Batch 4100/9461 | Loss: 4.3599
Epoch 4 | Batch 4200/9461 | Loss: 4.2878
Epoch 4 | Batch 4300/9461 | Loss: 4.7712
Epoch 4 | Batch 4400/9461 | Loss: 4.6889
Epoch 4 | Batch 4500/9461 | Loss: 4.4796
Epoch 4 | Batch 4600/9461 | Loss: 4.7323
Epoch 4 | Batch 4700/9461 | Loss: 4.3115
Epoch 4 | Batch 4800/9461 | Loss: 4.5153
Epoch 4 | Batch 4900/9461 | Loss: 4.5935
Epoch 4 | Batch 5000/9461 | Loss: 4.4575
Epoch 4 | Batch 5100/9461 | Loss: 4.4752
Epoch 4 | Batch 5200/9461 | Loss: 4.3820
Epoch 4 | Batch 5300/9461 | Loss: 4.4335
Epoch 4 | Batch 5400/9461 | Loss: 4.4946
Epoch 4 | Batch 5500/9461 | Loss: 4.4883
Epoch 4 | Batch 5600/9461 | Loss: 4.5356
Epoch 4 | Batch 5700/9461 | Loss: 4.4646
Epoch 4 | Batch 5800/9461 | Loss: 4.5000
Epoch 4 | Batch 5900/9461 | Loss: 4.4152
Epoch 4 | Batch 6000/9461 | Loss: 4.5228
Epoch 4 | Batch 6100/9461 | Loss: 4.3737
Epoch 4 | Batch 6200/9461 | Loss: 4.4415
Epoch 4 | Batch 6300/9461 | Loss: 4.3555
Epoch 4 | Batch 6400/9461 | Loss: 4.5547
Epoch 4 | Batch 6500/9461 | Loss: 4.5403
Epoch 4 | Batch 6600/9461 | Loss: 4.5709
Epoch 4 | Batch 6700/9461 | Loss: 4.6210
Epoch 4 | Batch 6800/9461 | Loss: 4.4441
Epoch 4 | Batch 6900/9461 | Loss: 4.2586
Epoch 4 | Batch 7000/9461 | Loss: 4.7331
Epoch 4 | Batch 7100/9461 | Loss: 4.5998
Epoch 4 | Batch 7200/9461 | Loss: 4.6789
Epoch 4 | Batch 7300/9461 | Loss: 4.3539
Epoch 4 | Batch 7400/9461 | Loss: 4.2960
Epoch 4 | Batch 7500/9461 | Loss: 4.3522
Epoch 4 | Batch 7600/9461 | Loss: 4.4403
Epoch 4 | Batch 7700/9461 | Loss: 4.2166
Epoch 4 | Batch 7800/9461 | Loss: 4.4960
Epoch 4 | Batch 7900/9461 | Loss: 4.4938
Epoch 4 | Batch 8000/9461 | Loss: 4.8121
Epoch 4 | Batch 8100/9461 | Loss: 4.4162
Epoch 4 | Batch 8200/9461 | Loss: 4.3506
Epoch 4 | Batch 8300/9461 | Loss: 4.6680
Epoch 4 | Batch 8400/9461 | Loss: 4.5513
Epoch 4 | Batch 8500/9461 | Loss: 4.3928
Epoch 4 | Batch 8600/9461 | Loss: 4.7859
Epoch 4 | Batch 8700/9461 | Loss: 4.3823
Epoch 4 | Batch 8800/9461 | Loss: 4.4246
Epoch 4 | Batch 8900/9461 | Loss: 4.6826
Epoch 4 | Batch 9000/9461 | Loss: 4.7376
Epoch 4 | Batch 9100/9461 | Loss: 4.4445
Epoch 4 | Batch 9200/9461 | Loss: 4.4307
Epoch 4 | Batch 9300/9461 | Loss: 4.4265
Epoch 4 | Batch 9400/9461 | Loss: 4.3021
Epoch 5 | Batch 0/9461 | Loss: 4.5132
Epoch 5 | Batch 100/9461 | Loss: 4.4996
Epoch 5 | Batch 200/9461 | Loss: 4.4441
Epoch 5 | Batch 300/9461 | Loss: 4.4672
Epoch 5 | Batch 400/9461 | Loss: 4.4363
Epoch 5 | Batch 500/9461 | Loss: 4.2477
Epoch 5 | Batch 600/9461 | Loss: 4.3938
Epoch 5 | Batch 700/9461 | Loss: 4.2133
Epoch 5 | Batch 800/9461 | Loss: 4.4260
Epoch 5 | Batch 900/9461 | Loss: 4.6226
Epoch 5 | Batch 1000/9461 | Loss: 4.6443
Epoch 5 | Batch 1100/9461 | Loss: 4.4027
Epoch 5 | Batch 1200/9461 | Loss: 4.2264
Epoch 5 | Batch 1300/9461 | Loss: 4.4274
Epoch 5 | Batch 1400/9461 | Loss: 4.3005
Epoch 5 | Batch 1500/9461 | Loss: 4.2359
Epoch 5 | Batch 1600/9461 | Loss: 4.6470
Epoch 5 | Batch 1700/9461 | Loss: 4.5154
Epoch 5 | Batch 1800/9461 | Loss: 4.4512
Epoch 5 | Batch 1900/9461 | Loss: 4.3681
Epoch 5 | Batch 2000/9461 | Loss: 4.6233
Epoch 5 | Batch 2100/9461 | Loss: 4.4524
Epoch 5 | Batch 2200/9461 | Loss: 4.3127
Epoch 5 | Batch 2300/9461 | Loss: 4.6436
Epoch 5 | Batch 2400/9461 | Loss: 4.4272
Epoch 5 | Batch 2500/9461 | Loss: 4.5665
Epoch 5 | Batch 2600/9461 | Loss: 4.3956
Epoch 5 | Batch 2700/9461 | Loss: 4.2212
Epoch 5 | Batch 2800/9461 | Loss: 4.6220
Epoch 5 | Batch 2900/9461 | Loss: 4.3894
Epoch 5 | Batch 3000/9461 | Loss: 4.5996
Epoch 5 | Batch 3100/9461 | Loss: 4.5073
Epoch 5 | Batch 3200/9461 | Loss: 4.5370
Epoch 5 | Batch 3300/9461 | Loss: 4.6391
Epoch 5 | Batch 3400/9461 | Loss: 4.6159
Epoch 5 | Batch 3500/9461 | Loss: 4.4744
Epoch 5 | Batch 3600/9461 | Loss: 4.6391
Epoch 5 | Batch 3700/9461 | Loss: 4.3627
Epoch 5 | Batch 3800/9461 | Loss: 4.7566
Epoch 5 | Batch 3900/9461 | Loss: 4.4437
Epoch 5 | Batch 4000/9461 | Loss: 4.6095
Epoch 5 | Batch 4100/9461 | Loss: 4.5799
Epoch 5 | Batch 4200/9461 | Loss: 4.6333
Epoch 5 | Batch 4300/9461 | Loss: 4.3104
Epoch 5 | Batch 4400/9461 | Loss: 4.6689
Epoch 5 | Batch 4500/9461 | Loss: 4.4600
Epoch 5 | Batch 4600/9461 | Loss: 4.4887
Epoch 5 | Batch 4700/9461 | Loss: 4.5355
Epoch 5 | Batch 4800/9461 | Loss: 4.6266
Epoch 5 | Batch 4900/9461 | Loss: 4.7050
